university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
Rensselaer Polytechnic Institute,ARCH,5110,"History, Theory, Criticism 2",,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5160,Digital Constructs 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5150,Structures 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5200,Graduate Architecture Design 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4750,Sustainable Building Design Metrics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4960,Special Topics in Architecture and Environmental Design,Credit Hours: 1 to 4 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5300,Materials and Construction Systems,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4810,Sonics Research Lab 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5340,Materials and Enclosures,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5330,Entrepreneurship and Architecture,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5310,Environment and Ecological Systems,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5380,Professional Practice 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4010,Seminar in Sensory Culture,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5390,Professional Practice 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6110,Design Explorations 1,"Selective architectural works will be deconstructed in order to uncover the knowledge invested in them. Case studies will be subjected to modes of inquiry that will reveal their deep content from conception to realization, including the mental frameworks of the designers, the methods of representation, the technological knowledge employed, the methods of production, and the ingrained cultural values, to develop methods of inquiry that will enable them to pursue similar investigations of any architectural work. When Offered: Fall term annually. Credit Hours: 4 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .",False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6130,Design Explorations 3,Prerequisites/Corequisites: Prerequisite: ARCH 6120. When Offered: Fall term annually. Credit Hours: 4 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6210,Graduate Studio 1,Individual students pursue specialized elements or aspects of the problem area with emphasis on revealing a deeper knowledge of the parts. Group activity centers on discussions of individual contributions and emphasizes the role of these contributions as they build a greater understanding of the total problem area. For students in the M.Arch. second professional degree program and M.S. in Building Sciences program only. Credit Hours: 2 to 7 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6220,Graduate Studio 2,Individual students pursue specialized elements or aspects of the problem area with emphasis on revealing a deeper knowledge of the parts. Group activity centers on discussions of individual contributions and emphasizes the role of these contributions as they build a greater understanding of the total problem area. For students in the M.Arch. second professional degree program and M.S. in Building Sciences program only. Credit Hours: 2 to 7 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6310,Environmental History and Theory,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6330,Built Ecologies 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4830,Integrated Design Development,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6340,Material Systems and Productions,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6350,Design Research Studio,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6360,Interdisciplinary Research Studio,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4170,.80 - Environmental Parametrics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5210,Graduate Architecture Design 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6380,Graduate Environmental Parametrics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6390,Energy and Systems Simulation,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,4920,Final Project Design Studio,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6400,Criticism I,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6510,Disciplinary Research Methods Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6610,Graduate Architecture Design 3,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6120,Design Explorations 2,"The precise topics vary but always address important issues. Currently they address the environmental performance of buildings and the role that spatial order/organization of urban environments plays in the construction of social practices, human subjectivities, and technologies of power. Topics alternate every other year. Prerequisites/Corequisites: Prerequisite: ARCH 6110. When Offered: Fall term annually. Credit Hours: 4 Back to Top | Print-Friendly Page [ Add to Portfolio ] All catalogs © 2019 Rensselaer Polytechnic Institute. Powered by the Acalog™ Academic Catalog Management System™ (ACMS™) . Mobile Site .",False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6620,Graduate Architecture Design 4,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6630,Graduate Architecture Design 5,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6750,Final Project Design Research Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6830,Graduate Thesis Seminar: Acoustics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6810,Research Design Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6840,Engineering Acoustics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6870,Sonics Research Laboratory 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5360,Building Systems and the Environment,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6880,Sonics Research Laboratory 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6900,Graduate Thesis Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6890,Aural Architecture,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6940,Advanced Individual Projects in Architecture and Environmental Design,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6920,Doctoral Seminar 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6948,Graduate Final Project,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6960,Special Topics in Architecture and Environmental Design,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6980,Master’s Project,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6680,"History, Theory, Criticism 3",,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6380,.80 - Environmental Parametrics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,9990,Dissertation,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6520,Interdisciplinary Ph.D. Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5140,Structures 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,1020,Media Studio: Imaging,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,1030,Digital Filmmaking,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,1040,Art for Interactive Media,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,5170,Digital Constructs 2,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,1200,Basic Drawing,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,1380,Fundamentals of Music and Sound,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6860,Applied Psychoacoustics,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6320,Built Ecologies 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2010,Intermediate Video,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2020,Music and Technology I,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2070,Graphic Storytelling,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2200,Intermediate Drawing,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2080,Contemporary Improvisation Ensemble,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2210,Sculpture I,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6910,Doctoral Seminar 1,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2220,Fundamentals of 2-D Design,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2230,3D Bootcamp,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2310,Rensselaer Concert Choir,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6990,Master’s Thesis,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2350,Chamber Music Ensemble,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6970,Professional Project,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2380,Music and Sound I,,False,False,False,False
Rensselaer Polytechnic Institute,ARCH,6981,Methods Seminar,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2360,Roots of Africa Music Ensemble,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2520,World Music,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2540,The Multimedia Century,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2960,Topics in the Arts,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2940,Studies in the Arts,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4030,Multimedia Performance Systems,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4020,Advanced Digital 3-D Projects,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4040,Rethinking Documentary: Video Production,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4070,3D Animation,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,2040,Intermediate Digital Imaging,,False,False,False,False
Rensselaer Polytechnic Institute,ARTS,4080,"Art, Community, and Technology",,False,False,False,False
