university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed
pitt,2026,2025-2026,ANTH,1527,ARCHAEOLOGY OF NORTH AMERICAN INDIANS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1528,SOUTH AMERICAN ARCHAEOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1529,AFRICAN ARCHAEOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1530,ORIGINS OF CITIES,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1534,ARCHEOLOGICAL DATA ANALYSIS 1,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1535,BASIC ARCHEOLOGICAL FIELD TRAINING,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1541,CULTURAL RESOURCE MANAGEMENT,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1537,BASIC LABORATORY ANALYSIS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1547,POTS AND PEOPLE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1540,SPECIAL TOPICS IN ARCHEOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1543,ANCIENT STATES IN THE NEW WORLD,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1549,WARFARE IN ARCHAEOLOGY AND ETHNOGRAPHY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1544,ANCIENT CIVILIZATIONS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1552,A HISTORY OF ANTHROPOLOGICAL THOUGHT,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1548,AMAZONIAN ARTS: MAKING AND MEANING,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1557,"ARCHAEOLOGY OF RUSSIA, CENTRAL ASIA, AND MONGOLIA",,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1556,ZOOARCHAEOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1550,ETHNOGRAPHY OF SPORT,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1551,GIS IN ARCHAEOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1561,INTRODUCTION TO ARCHAEOLOGICAL GEOPHYSICS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1553,ANCIENT FUTURES: READING SPECULATIVE FICTION THROUGH ARCHAEOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1565,ARCHAEOLOGY OF FOODWAYS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1563,PEOPLES OF THE NORTH: PAST AND PRESENT,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1570,MOLECULAR ARCHAEOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1562,LIVING WITH HERDS: THE ARCHAEOLOGY OF NOMADIC PASTORALISM,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1600,HUMAN BIOLOGICAL VARIATION,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1560,POLITICS IN PREHISTORY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1601,STRUCTURE AND FUNCTION,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1603,HUMAN ORIGINS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1590,ARCHAEOLOGY OF ISRAEL-PALESTINE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1576,ARCHAEOLOGY OF ANCIENT EGYPT,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1575,UNRAVELING THE ANTHROPOCENE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1602,HUMAN SKELETAL ANALYSIS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1609,ADVANCED SKELETAL ANALYSIS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1611,EVOLUTIONARY THEORY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1605,PRIMATE ANATOMY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1613,PRIMATE BIOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1620,WOMB TO TOMB,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1650,BLACK FEMINIST ETHNOGRAPHY,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,ANTH,1619,SPECIAL TOPICS IN PHYSICAL ANTHROPOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1617,PALEOPATHOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1660,PEOPLE AND OTHER ANIMALS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1690,ORAL HISTORY/ORAL TRADITION IN ANTHROPOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1670,ASIAN AMERICA-RECKONING,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1665,"LANGUAGE, ETHNICITY AND NATIONALISM",,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1700,YOGA IN THE HIMALAYAS,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1701,RELIGION AND RACE,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,ANTH,1703,THE HISTORY OF GOD,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1706,TAIWAN DIASPORA,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,ANTH,1704,RITUAL: THEORIES AND CASES,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1713,"HEALTH, NUTRITION, AND POPULATION 1",,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1709,ACTIVIST ANTHROPOLOGY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1711,ETHNOBIOLOGY: AMAZONIAN RELIGION AND NATURE,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1714,"HEALTH, NUTRITION AND POPULATION 2",,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1717,MODERN TAIWAN: 1500-1980,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1716,POLITICS OF GENDER AND FOOD,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,ANTH,1719,ANTHROPOLOGY OF RACE AND SCIENCE,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,ANTH,1722,CULTURE AND POLITICS OF MENTAL HEALTH,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1718,GENDER AND WORK IN CROSS CULTURAL PERSPECTIVE,,Social Sciences,undergraduate,True,False,False,False,False
pitt,2026,2025-2026,ANTH,1723,BLACK MASCULINITY,,Social Sciences,undergraduate,False,False,False,False,False
pitt,2026,2025-2026,ANTH,1721,CYBER CULTURES,,Social Sciences,undergraduate,False,False,False,False,False
